episode,timestep,reward
1661,1660000,-9.1482
1663,1662000,-9.0452
1665,1664000,-8.905
1667,1666000,-10.0948
1669,1668000,-9.6902
1671,1670000,-9.3349
1673,1672000,-9.9971
1675,1674000,-9.486
1677,1676000,-9.1775
1679,1678000,-9.1071
1681,1680000,-9.3529
1683,1682000,-9.3304
1685,1684000,-9.8232
1687,1686000,-52.6505
1689,1688000,-73.6543
1691,1690000,-32.3195
1693,1692000,-10.5496
1695,1694000,-9.427
1697,1696000,-10.0972
1699,1698000,-10.4149
1701,1700000,-9.9499
1703,1702000,-9.9758
1705,1704000,-9.4644
1707,1706000,-9.998
1709,1708000,-9.6006
1711,1710000,-9.1276
1713,1712000,-10.0195
1715,1714000,-8.9681
1717,1716000,-9.4077
1719,1718000,-9.2895
1721,1720000,-9.5283
1723,1722000,-8.7719
1725,1724000,-9.4636
1727,1726000,-9.655
1729,1728000,-9.1554
1731,1730000,-9.9832
1733,1732000,-9.0184
1735,1734000,-9.4954
1737,1736000,-9.0471
1739,1738000,-9.6028
1741,1740000,-8.9957
1743,1742000,-9.6718
1745,1744000,-10.2874
1747,1746000,-9.5779
1749,1748000,-8.6721
1751,1750000,-8.7019
1753,1752000,-7.2042
1755,1754000,-6.5985
1757,1756000,-6.3925
1759,1758000,-6.3987
1761,1760000,-6.7547
1763,1762000,-6.6002
1765,1764000,-7.1441
1767,1766000,-6.0901
1769,1768000,-6.1938
1771,1770000,-6.9287
1773,1772000,-6.6274
1775,1774000,-6.555
1777,1776000,-7.1525
1779,1778000,-6.7944
1781,1780000,-6.1536
1783,1782000,-6.3023
1785,1784000,-6.4164
1787,1786000,-6.3256
1789,1788000,-6.1352
1791,1790000,-6.6134
1793,1792000,-6.7857
1795,1794000,-6.718
1797,1796000,-6.5941
1799,1798000,-8.8205
1801,1800000,-10.7798
1803,1802000,-52.5939
1805,1804000,-82.052
1807,1806000,-56.2049
1809,1808000,-40.4606
1813,1810000,80.1205
1816,1812000,86.2896
1820,1814000,83.3937
1824,1816000,86.7985
1830,1818000,72.7462
1836,1820000,71.6689
1838,1822000,-83.7373
1841,1824000,-56.9733
1846,1826000,27.7759
1850,1828000,56.8161
1856,1830000,57.4585
1861,1832000,53.0786
1866,1834000,65.4583
1872,1836000,69.8479
1874,1838000,-28.3285
1878,1840000,-79.9597
1880,1842000,-259.9176
1882,1844000,-84.3568
1887,1846000,-15.6533
1895,1848000,47.4239
1898,1850000,-244.3192
1900,1852000,-489.26
1903,1854000,-214.5292
1906,1856000,-325.6748
1911,1858000,-121.1922
1915,1860000,-134.6564
1920,1862000,-17.1992
1925,1864000,-6.5813
1930,1866000,-1.834
1936,1868000,11.136
1941,1870000,15.3849
1946,1872000,10.9308
1948,1874000,-337.4064
1950,1876000,-367.2408
1952,1878000,-326.0232
1954,1880000,-316.9089
1956,1882000,-650.9639
1958,1884000,-692.5775
1960,1886000,-731.3304
1962,1888000,-731.2141
1964,1890000,-624.3855
1966,1892000,-591.8244
1968,1894000,-837.9773
1970,1896000,-884.1157
1972,1898000,-807.2052
1974,1900000,-786.5012
1976,1902000,-512.3139
1978,1904000,-465.4046
1980,1906000,-388.9629
1982,1908000,-369.3361
1984,1910000,-447.3027
1986,1912000,-474.0602
1988,1914000,-480.492
1990,1916000,-475.6781
1992,1918000,-503.1307
1994,1920000,-491.0548
1996,1922000,-643.0108
1998,1924000,-672.9918
2000,1926000,-531.7916
2002,1928000,-510.1075
2004,1930000,-412.9293
2006,1932000,-377.837
2008,1934000,-316.509
2010,1936000,-300.1668
2012,1938000,-553.6411
2014,1940000,-593.1964
2016,1942000,-499.5526
2018,1944000,-465.0917
2020,1946000,-551.5607
2022,1948000,-560.0152
2024,1950000,-298.8777
2026,1952000,-242.6706
2028,1954000,-158.1309
2030,1956000,-140.4371
2032,1958000,-119.4571
2034,1960000,-114.5565
2036,1962000,-81.4868
2038,1964000,-71.3936
2040,1966000,-27.429
2042,1968000,-16.7921
2044,1970000,-15.0159
2046,1972000,-13.2754
2048,1974000,-9.3407
2050,1976000,-8.2755
2052,1978000,-6.7103
2054,1980000,-6.4861
2056,1982000,-6.4902
2058,1984000,-6.6803
2060,1986000,-6.801
2062,1988000,-6.7816
2064,1990000,-6.5714
2066,1992000,-6.4168
2068,1994000,-7.2034
2070,1996000,-7.164
2072,1998000,-6.3033
2074,2000000,-5.9877
2076,2002000,-5.3858
2078,2004000,-5.1042
2080,2006000,-4.5229
2082,2008000,-4.0755
2084,2010000,-4.1427
2086,2012000,-4.2839
2088,2014000,-4.3452
2090,2016000,-4.3011
2092,2018000,-3.9277
2094,2020000,-4.073
2096,2022000,-4.3563
2098,2024000,-4.3991
2100,2026000,-4.0907
2102,2028000,-3.9448
2104,2030000,-4.0027
2106,2032000,-4.0407
2108,2034000,-3.9033
2110,2036000,-4.0421
2112,2038000,-3.8342
2114,2040000,-3.9943
2116,2042000,-4.5397
2118,2044000,-4.6877
2120,2046000,-8.6885
2122,2048000,-11.2242
2124,2050000,-7.7466
2126,2052000,-6.5333
2128,2054000,-4.9431
2130,2056000,-4.0858
2132,2058000,-4.5208
2134,2060000,-4.2655
2136,2062000,-4.1731
2138,2064000,-3.9753
2140,2066000,-4.244
2142,2068000,-3.9785
2144,2070000,-3.9734
2146,2072000,-3.9528
2148,2074000,-4.1174
2150,2076000,-4.1565
2152,2078000,-4.5355
2154,2080000,-4.7125
2156,2082000,-4.4854
2158,2084000,-4.6642
2160,2086000,-4.1544
2162,2088000,-4.113
2164,2090000,-4.5081
2166,2092000,-3.9896
2168,2094000,-3.9693
2170,2096000,-3.8901
2172,2098000,-4.226
2174,2100000,-4.1017
2176,2102000,-3.6965
2178,2104000,-3.9631
2180,2106000,-4.1077
2182,2108000,-4.0757
2184,2110000,-4.2183
2186,2112000,-4.1083
2188,2114000,-4.0812
2190,2116000,-4.2661
2192,2118000,-4.1552
2194,2120000,-3.9616
2196,2122000,-4.2542
2198,2124000,-4.3767
2200,2126000,-4.2255
2202,2128000,-4.4546
2204,2130000,-4.2785
2206,2132000,-3.9529
2208,2134000,-3.9425
2210,2136000,-3.9245
2212,2138000,-4.0734
2214,2140000,-4.3047
2216,2142000,-3.8012
2218,2144000,-4.1535
2220,2146000,-4.1379
2222,2148000,-4.0032
2224,2150000,-4.0982
2226,2152000,-3.9688
2228,2154000,-4.0732
2230,2156000,-4.0707
2232,2158000,-3.8939
2234,2160000,-3.9941
2236,2162000,-4.0036
2238,2164000,-4.2917
2240,2166000,-3.8589
2242,2168000,-4.174
2244,2170000,-4.1869
2246,2172000,-4.2127
2248,2174000,-4.1871
2250,2176000,-4.4618
2252,2178000,-4.6158
2254,2180000,-4.5478
2256,2182000,-4.4456
2258,2184000,-3.8106
2260,2186000,-4.4169
2262,2188000,-4.5361
